instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,base_asset,quote_asset
ACHBTC,ACHBTC,ACHBTC,ACH/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ACH,BTC
ACHTRY,ACHTRY,ACHTRY,ACH/TRY,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,ACH,TRY
ACHUSDC,ACHUSDC,ACHUSDC,ACH/USDC,0.0,,0.0,1e-05,1.0,EQ,CRYPTO,BINANCE,ACH,USDC
ACHUSDT,ACHUSDT,ACHUSDT,ACH/USDT,0.0,,0.0,1e-05,1.0,EQ,CRYPTO,BINANCE,ACH,USDT
ACMUSDT,ACMUSDT,ACMUSDT,ACM/USDT,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ACM,USDT
ACTFDUSD,ACTFDUSD,ACTFDUSD,ACT/FDUSD,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ACT,FDUSD
ACTTRY,ACTTRY,ACTTRY,ACT/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ACT,TRY
ACTUSDC,ACTUSDC,ACTUSDC,ACT/USDC,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ACT,USDC
ACTUSDT,ACTUSDT,ACTUSDT,ACT/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ACT,USDT
ACXTRY,ACXTRY,ACXTRY,ACX/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ACX,TRY
ACXUSDC,ACXUSDC,ACXUSDC,ACX/USDC,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ACX,USDC
ACXUSDT,ACXUSDT,ACXUSDT,ACX/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ACX,USDT
ADABNB,ADABNB,ADABNB,ADA/BNB,0.0,,0.0,1e-06,0.1,EQ,CRYPTO,BINANCE,ADA,BNB
ADABRL,ADABRL,ADABRL,ADA/BRL,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ADA,BRL
ADABTC,ADABTC,ADABTC,ADA/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,ADA,BTC
ADAETH,ADAETH,ADAETH,ADA/ETH,0.0,,0.0,1e-07,0.1,EQ,CRYPTO,BINANCE,ADA,ETH
ADAEUR,ADAEUR,ADAEUR,ADA/EUR,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ADA,EUR
ADAFDUSD,ADAFDUSD,ADAFDUSD,ADA/FDUSD,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ADA,FDUSD
ADAJPY,ADAJPY,ADAJPY,ADA/JPY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ADA,JPY
ADATRY,ADATRY,ADATRY,ADA/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ADA,TRY
ADAUSDC,ADAUSDC,ADAUSDC,ADA/USDC,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ADA,USDC
ADAUSDT,ADAUSDT,ADAUSDT,ADA/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ADA,USDT
ADXBTC,ADXBTC,ADXBTC,ADX/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ADX,BTC
ADXETH,ADXETH,ADXETH,ADX/ETH,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ADX,ETH
ADXUSDT,ADXUSDT,ADXUSDT,ADX/USDT,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,ADX,USDT
AETH,AETH,AETH,A/ETH,0.0,,0.0,1e-07,0.1,EQ,CRYPTO,BINANCE,A,ETH
AEURUSDT,AEURUSDT,AEURUSDT,AEUR/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,AEUR,USDT
AEVOBTC,AEVOBTC,AEVOBTC,AEVO/BTC,0.0,,0.0,1e-08,0.01,EQ,CRYPTO,BINANCE,AEVO,BTC
AEVOFDUSD,AEVOFDUSD,AEVOFDUSD,AEVO/FDUSD,0.0,,0.0,0.0001,0.01,EQ,CRYPTO,BINANCE,AEVO,FDUSD
AEVOTRY,AEVOTRY,AEVOTRY,AEVO/TRY,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AEVO,TRY
AEVOUSDT,AEVOUSDT,AEVOUSDT,AEVO/USDT,0.0,,0.0,0.0001,0.01,EQ,CRYPTO,BINANCE,AEVO,USDT
AFDUSD,AFDUSD,AFDUSD,A/FDUSD,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,A,FDUSD
AGLDBTC,AGLDBTC,AGLDBTC,AGLD/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,AGLD,BTC
AGLDUSDT,AGLDUSDT,AGLDUSDT,AGLD/USDT,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,AGLD,USDT
AIBNB,AIBNB,AIBNB,AI/BNB,0.0,,0.0,1e-07,0.1,EQ,CRYPTO,BINANCE,AI,BNB
AIBTC,AIBTC,AIBTC,AI/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,AI,BTC
AIFDUSD,AIFDUSD,AIFDUSD,AI/FDUSD,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,AI,FDUSD
AITRY,AITRY,AITRY,AI/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,AI,TRY
AIUSDT,AIUSDT,AIUSDT,AI/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,AI,USDT
AIXBTTRY,AIXBTTRY,AIXBTTRY,AIXBT/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,AIXBT,TRY
AIXBTUSDC,AIXBTUSDC,AIXBTUSDC,AIXBT/USDC,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,AIXBT,USDC
AIXBTUSDT,AIXBTUSDT,AIXBTUSDT,AIXBT/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,AIXBT,USDT
ALCXUSDT,ALCXUSDT,ALCXUSDT,ALCX/USDT,0.0,,0.0,0.01,0.0001,EQ,CRYPTO,BINANCE,ALCX,USDT
ALGOBTC,ALGOBTC,ALGOBTC,ALGO/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ALGO,BTC
ALGOTRY,ALGOTRY,ALGOTRY,ALGO/TRY,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ALGO,TRY
ALGOUSDC,ALGOUSDC,ALGOUSDC,ALGO/USDC,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,ALGO,USDC
ALGOUSDT,ALGOUSDT,ALGOUSDT,ALGO/USDT,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,ALGO,USDT
ALICETRY,ALICETRY,ALICETRY,ALICE/TRY,0.0,,0.0,0.01,0.001,EQ,CRYPTO,BINANCE,ALICE,TRY
ALICEUSDT,ALICEUSDT,ALICEUSDT,ALICE/USDT,0.0,,0.0,0.0001,0.01,EQ,CRYPTO,BINANCE,ALICE,USDT
ALPINETRY,ALPINETRY,ALPINETRY,ALPINE/TRY,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,ALPINE,TRY
ALPINEUSDT,ALPINEUSDT,ALPINEUSDT,ALPINE/USDT,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,ALPINE,USDT
ALTBNB,ALTBNB,ALTBNB,ALT/BNB,0.0,,0.0,1e-07,1.0,EQ,CRYPTO,BINANCE,ALT,BNB
ALTBTC,ALTBTC,ALTBTC,ALT/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ALT,BTC
ALTFDUSD,ALTFDUSD,ALTFDUSD,ALT/FDUSD,0.0,,0.0,1e-05,1.0,EQ,CRYPTO,BINANCE,ALT,FDUSD
ALTTRY,ALTTRY,ALTTRY,ALT/TRY,0.0,,0.0,0.001,1.0,EQ,CRYPTO,BINANCE,ALT,TRY
ALTUSDC,ALTUSDC,ALTUSDC,ALT/USDC,0.0,,0.0,1e-05,1.0,EQ,CRYPTO,BINANCE,ALT,USDC
ALTUSDT,ALTUSDT,ALTUSDT,ALT/USDT,0.0,,0.0,1e-05,1.0,EQ,CRYPTO,BINANCE,ALT,USDT
AMPTRY,AMPTRY,AMPTRY,AMP/TRY,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,AMP,TRY
AMPUSDT,AMPUSDT,AMPUSDT,AMP/USDT,0.0,,0.0,1e-06,1.0,EQ,CRYPTO,BINANCE,AMP,USDT
ANIMEFDUSD,ANIMEFDUSD,ANIMEFDUSD,ANIME/FDUSD,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,ANIME,FDUSD
ANIMETRY,ANIMETRY,ANIMETRY,ANIME/TRY,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ANIME,TRY
ANIMEUSDC,ANIMEUSDC,ANIMEUSDC,ANIME/USDC,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,ANIME,USDC
ANIMEUSDT,ANIMEUSDT,ANIMEUSDT,ANIME/USDT,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,ANIME,USDT
ANKRBTC,ANKRBTC,ANKRBTC,ANKR/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ANKR,BTC
ANKRTRY,ANKRTRY,ANKRTRY,ANKR/TRY,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,ANKR,TRY
ANKRUSDT,ANKRUSDT,ANKRUSDT,ANKR/USDT,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,ANKR,USDT
APEBTC,APEBTC,APEBTC,APE/BTC,0.0,,0.0,1e-08,0.01,EQ,CRYPTO,BINANCE,APE,BTC
APEFDUSD,APEFDUSD,APEFDUSD,APE/FDUSD,0.0,,0.0,0.0001,0.01,EQ,CRYPTO,BINANCE,APE,FDUSD
APETRY,APETRY,APETRY,APE/TRY,0.0,,0.0,0.01,0.001,EQ,CRYPTO,BINANCE,APE,TRY
APEUSDC,APEUSDC,APEUSDC,APE/USDC,0.0,,0.0,0.0001,0.01,EQ,CRYPTO,BINANCE,APE,USDC
APEUSDT,APEUSDT,APEUSDT,APE/USDT,0.0,,0.0,0.0001,0.01,EQ,CRYPTO,BINANCE,APE,USDT
API3BTC,API3BTC,API3BTC,API3/BTC,0.0,,0.0,1e-08,0.01,EQ,CRYPTO,BINANCE,API3,BTC
API3TRY,API3TRY,API3TRY,API3/TRY,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,API3,TRY
API3USDC,API3USDC,API3USDC,API3/USDC,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,API3,USDC
API3USDT,API3USDT,API3USDT,API3/USDT,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,API3,USDT
APTBTC,APTBTC,APTBTC,APT/BTC,0.0,,0.0,1e-08,0.01,EQ,CRYPTO,BINANCE,APT,BTC
APTETH,APTETH,APTETH,APT/ETH,0.0,,0.0,1e-06,0.01,EQ,CRYPTO,BINANCE,APT,ETH
APTEUR,APTEUR,APTEUR,APT/EUR,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,APT,EUR
APTFDUSD,APTFDUSD,APTFDUSD,APT/FDUSD,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,APT,FDUSD
APTJPY,APTJPY,APTJPY,APT/JPY,0.0,,0.0,0.1,0.01,EQ,CRYPTO,BINANCE,APT,JPY
APTTRY,APTTRY,APTTRY,APT/TRY,0.0,,0.0,0.1,0.01,EQ,CRYPTO,BINANCE,APT,TRY
APTUSDC,APTUSDC,APTUSDC,APT/USDC,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,APT,USDC
APTUSDT,APTUSDT,APTUSDT,APT/USDT,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,APT,USDT
ARBBTC,ARBBTC,ARBBTC,ARB/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,ARB,BTC
ARBETH,ARBETH,ARBETH,ARB/ETH,0.0,,0.0,1e-07,0.1,EQ,CRYPTO,BINANCE,ARB,ETH
ARBEUR,ARBEUR,ARBEUR,ARB/EUR,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ARB,EUR
ARBFDUSD,ARBFDUSD,ARBFDUSD,ARB/FDUSD,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ARB,FDUSD
ARBTC,ARBTC,ARBTC,AR/BTC,0.0,,0.0,1e-07,0.01,EQ,CRYPTO,BINANCE,AR,BTC
ARBTRY,ARBTRY,ARBTRY,ARB/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ARB,TRY
ARBTUSD,ARBTUSD,ARBTUSD,ARB/TUSD,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ARB,TUSD
ARBUSDC,ARBUSDC,ARBUSDC,ARB/USDC,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ARB,USDC
ARBUSDT,ARBUSDT,ARBUSDT,ARB/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,ARB,USDT
ARDRBTC,ARDRBTC,ARDRBTC,ARDR/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ARDR,BTC
ARDRUSDT,ARDRUSDT,ARDRUSDT,ARDR/USDT,0.0,,0.0,1e-05,1.0,EQ,CRYPTO,BINANCE,ARDR,USDT
ARFDUSD,ARFDUSD,ARFDUSD,AR/FDUSD,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AR,FDUSD
ARKMBNB,ARKMBNB,ARKMBNB,ARKM/BNB,0.0,,0.0,1e-06,0.1,EQ,CRYPTO,BINANCE,ARKM,BNB
ARKMBTC,ARKMBTC,ARKMBTC,ARKM/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,ARKM,BTC
ARKMFDUSD,ARKMFDUSD,ARKMFDUSD,ARKM/FDUSD,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ARKM,FDUSD
ARKMTRY,ARKMTRY,ARKMTRY,ARKM/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ARKM,TRY
ARKMUSDC,ARKMUSDC,ARKMUSDC,ARKM/USDC,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ARKM,USDC
ARKMUSDT,ARKMUSDT,ARKMUSDT,ARKM/USDT,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ARKM,USDT
ARKTRY,ARKTRY,ARKTRY,ARK/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ARK,TRY
ARKUSDT,ARKUSDT,ARKUSDT,ARK/USDT,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,ARK,USDT
ARPABTC,ARPABTC,ARPABTC,ARPA/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ARPA,BTC
ARPATRY,ARPATRY,ARPATRY,ARPA/TRY,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,ARPA,TRY
ARPAUSDT,ARPAUSDT,ARPAUSDT,ARPA/USDT,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,ARPA,USDT
ARTRY,ARTRY,ARTRY,AR/TRY,0.0,,0.0,0.1,0.01,EQ,CRYPTO,BINANCE,AR,TRY
ARUSDC,ARUSDC,ARUSDC,AR/USDC,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AR,USDC
ARUSDT,ARUSDT,ARUSDT,AR/USDT,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AR,USDT
ASRTRY,ASRTRY,ASRTRY,ASR/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ASR,TRY
ASRUSDT,ASRUSDT,ASRUSDT,ASR/USDT,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ASR,USDT
ASTRBTC,ASTRBTC,ASTRBTC,ASTR/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,ASTR,BTC
ASTRUSDT,ASTRUSDT,ASTRUSDT,ASTR/USDT,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,ASTR,USDT
ATABTC,ATABTC,ATABTC,ATA/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,ATA,BTC
ATAUSDT,ATAUSDT,ATAUSDT,ATA/USDT,0.0,,0.0,0.0001,1.0,EQ,CRYPTO,BINANCE,ATA,USDT
ATMTRY,ATMTRY,ATMTRY,ATM/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ATM,TRY
ATMUSDT,ATMUSDT,ATMUSDT,ATM/USDT,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,ATM,USDT
ATOMBTC,ATOMBTC,ATOMBTC,ATOM/BTC,0.0,,0.0,1e-07,0.01,EQ,CRYPTO,BINANCE,ATOM,BTC
ATOMETH,ATOMETH,ATOMETH,ATOM/ETH,0.0,,0.0,1e-06,0.001,EQ,CRYPTO,BINANCE,ATOM,ETH
ATOMEUR,ATOMEUR,ATOMEUR,ATOM/EUR,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,ATOM,EUR
ATOMFDUSD,ATOMFDUSD,ATOMFDUSD,ATOM/FDUSD,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,ATOM,FDUSD
ATOMTRY,ATOMTRY,ATOMTRY,ATOM/TRY,0.0,,0.0,0.1,0.001,EQ,CRYPTO,BINANCE,ATOM,TRY
ATOMUSDC,ATOMUSDC,ATOMUSDC,ATOM/USDC,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,ATOM,USDC
ATOMUSDT,ATOMUSDT,ATOMUSDT,ATOM/USDT,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,ATOM,USDT
ATRY,ATRY,ATRY,A/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,A,TRY
AUCTIONBTC,AUCTIONBTC,AUCTIONBTC,AUCTION/BTC,0.0,,0.0,1e-07,0.01,EQ,CRYPTO,BINANCE,AUCTION,BTC
AUCTIONFDUSD,AUCTIONFDUSD,AUCTIONFDUSD,AUCTION/FDUSD,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AUCTION,FDUSD
AUCTIONTRY,AUCTIONTRY,AUCTIONTRY,AUCTION/TRY,0.0,,0.0,0.1,0.01,EQ,CRYPTO,BINANCE,AUCTION,TRY
AUCTIONUSDC,AUCTIONUSDC,AUCTIONUSDC,AUCTION/USDC,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AUCTION,USDC
AUCTIONUSDT,AUCTIONUSDT,AUCTIONUSDT,AUCTION/USDT,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AUCTION,USDT
AUDIOBTC,AUDIOBTC,AUDIOBTC,AUDIO/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,AUDIO,BTC
AUDIOTRY,AUDIOTRY,AUDIOTRY,AUDIO/TRY,0.0,,0.0,0.001,0.01,EQ,CRYPTO,BINANCE,AUDIO,TRY
AUDIOUSDT,AUDIOUSDT,AUDIOUSDT,AUDIO/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,AUDIO,USDT
AUSDC,AUSDC,AUSDC,A/USDC,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,A,USDC
AUSDT,AUSDT,AUSDT,A/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,A,USDT
AVABTC,AVABTC,AVABTC,AVA/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,AVA,BTC
AVAUSDT,AVAUSDT,AVAUSDT,AVA/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,AVA,USDT
AVAXBNB,AVAXBNB,AVAXBNB,AVAX/BNB,0.0,,0.0,1e-05,0.01,EQ,CRYPTO,BINANCE,AVAX,BNB
AVAXBRL,AVAXBRL,AVAXBRL,AVAX/BRL,0.0,,0.0,0.1,0.01,EQ,CRYPTO,BINANCE,AVAX,BRL
AVAXBTC,AVAXBTC,AVAXBTC,AVAX/BTC,0.0,,0.0,1e-07,0.01,EQ,CRYPTO,BINANCE,AVAX,BTC
AVAXETH,AVAXETH,AVAXETH,AVAX/ETH,0.0,,0.0,1e-05,0.01,EQ,CRYPTO,BINANCE,AVAX,ETH
AVAXEUR,AVAXEUR,AVAXEUR,AVAX/EUR,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AVAX,EUR
AVAXFDUSD,AVAXFDUSD,AVAXFDUSD,AVAX/FDUSD,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AVAX,FDUSD
AVAXTRY,AVAXTRY,AVAXTRY,AVAX/TRY,0.0,,0.0,0.1,0.01,EQ,CRYPTO,BINANCE,AVAX,TRY
AVAXUSDC,AVAXUSDC,AVAXUSDC,AVAX/USDC,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AVAX,USDC
AVAXUSDT,AVAXUSDT,AVAXUSDT,AVAX/USDT,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AVAX,USDT
AWEBTC,AWEBTC,AWEBTC,AWE/BTC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,AWE,BTC
AWEUSDT,AWEUSDT,AWEUSDT,AWE/USDT,0.0,,0.0,1e-05,1.0,EQ,CRYPTO,BINANCE,AWE,USDT
AXLBTC,AXLBTC,AXLBTC,AXL/BTC,0.0,,0.0,1e-08,0.01,EQ,CRYPTO,BINANCE,AXL,BTC
AXLTRY,AXLTRY,AXLTRY,AXL/TRY,0.0,,0.0,0.01,0.01,EQ,CRYPTO,BINANCE,AXL,TRY
AXLUSDT,AXLUSDT,AXLUSDT,AXL/USDT,0.0,,0.0,0.0001,0.01,EQ,CRYPTO,BINANCE,AXL,USDT
AXSBNB,AXSBNB,AXSBNB,AXS/BNB,0.0,,0.0,1e-05,0.01,EQ,CRYPTO,BINANCE,AXS,BNB
AXSBTC,AXSBTC,AXSBTC,AXS/BTC,0.0,,0.0,1e-07,0.01,EQ,CRYPTO,BINANCE,AXS,BTC
AXSETH,AXSETH,AXSETH,AXS/ETH,0.0,,0.0,1e-06,0.001,EQ,CRYPTO,BINANCE,AXS,ETH
